City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Chuy,UY,2022-07-21 23:31:01,-33.6971,-53.4616,51.89,88,93,6.93
59,Faanui,PF,2022-07-21 23:31:01,-16.4833,-151.75,77.27,73,13,10.87
60,Bambous Virieux,MU,2022-07-21 23:26:52,-20.3428,57.7575,70.21,77,40,11.5
61,San Andres,CO,2022-07-21 23:31:02,12.5847,-81.7006,78.82,94,75,10.36
62,Hermanus,ZA,2022-07-21 23:31:02,-34.4187,19.2345,44.8,74,100,4.94
63,Mutsu,JP,2022-07-21 23:31:03,41.2894,141.2169,73.51,78,100,8.77
64,Xichang,CN,2022-07-21 23:31:03,27.8964,102.2634,67.01,91,100,0.85
65,Hilo,US,2022-07-21 23:31:03,19.7297,-155.09,84.27,89,100,6.91
66,Cabo San Lucas,MX,2022-07-21 23:26:48,22.8909,-109.9124,98.19,40,0,10.36
67,Rio Verde De Mato Grosso,BR,2022-07-21 23:31:04,-18.9181,-54.8442,75.58,31,29,3.42
68,Rawson,AR,2022-07-21 23:30:59,-43.3002,-65.1023,44.35,47,100,12.93
69,Khatanga,RU,2022-07-21 23:31:04,71.9667,102.5,54.39,73,100,13.49
70,Dali,CN,2022-07-21 23:31:05,25.7,100.1833,64.26,88,95,1.88
71,Ontario,US,2022-07-21 23:30:03,34.0633,-117.6509,105.39,31,40,17.27
72,Flores,GT,2022-07-21 23:31:05,16.9226,-89.8994,84.79,61,91,4.72
73,Thompson,CA,2022-07-21 23:31:05,55.7435,-97.8558,68.16,64,75,8.05
74,Kysyl-Syr,RU,2022-07-21 23:31:06,63.8986,122.7617,60.06,90,99,7.16
75,Hasaki,JP,2022-07-21 23:31:06,35.7333,140.8333,84.29,83,55,17.34
76,Bubaque,GW,2022-07-21 23:31:07,11.2833,-15.8333,78.12,87,100,16.37
77,Baykit,RU,2022-07-21 23:29:31,61.67,96.37,59.61,79,21,2.42
78,Tuatapere,NZ,2022-07-21 23:29:26,-46.1333,167.6833,44.46,91,99,2.86
79,Bam,IR,2022-07-21 23:31:07,29.106,58.357,90.16,16,15,6.04
80,Misratah,LY,2022-07-21 23:27:14,32.3754,15.0925,79.99,60,0,7.23
81,East London,ZA,2022-07-21 23:31:08,-33.0153,27.9116,58.82,77,2,9.01
82,Isangel,VU,2022-07-21 23:31:08,-19.55,169.2667,80.31,69,4,16.71
83,Satkhira,BD,2022-07-21 23:31:08,22.7167,89.1,80.85,90,92,5.26
84,Kilimatinde,TZ,2022-07-21 23:31:09,-5.85,34.95,59.58,73,1,2.15
85,Arraial Do Cabo,BR,2022-07-21 23:31:09,-22.9661,-42.0278,66.16,88,0,4.61
86,Aranda De Duero,ES,2022-07-21 23:31:09,41.6704,-3.6892,73.96,25,0,3.91
87,Nanakuli,US,2022-07-21 23:31:10,21.3906,-158.1547,87.75,52,75,17.27
88,Pevek,RU,2022-07-21 23:29:24,69.7008,170.3133,32.05,100,100,11.07
89,Sitka,US,2022-07-21 23:31:10,57.0531,-135.33,57.09,77,75,0.0
90,Iqaluit,CA,2022-07-21 23:31:10,63.7506,-68.5145,44.33,93,20,4.61
91,Wanning,CN,2022-07-21 23:32:11,18.8003,110.3967,81.7,84,17,1.19
92,Longyearbyen,SJ,2022-07-21 23:27:41,78.2186,15.6401,49.84,87,75,2.3
93,Dordrecht,NL,2022-07-21 23:32:11,51.81,4.6736,63.01,81,92,1.01
94,Poum,NC,2022-07-21 23:30:59,-20.2333,164.0167,77.72,81,99,20.36
95,Bauchi,NG,2022-07-21 23:32:12,10.5,10.0,70.38,93,80,2.86
96,Eyl,SO,2022-07-21 23:32:12,7.9803,49.8164,76.12,75,43,22.17
97,Kapaa,US,2022-07-21 23:28:39,22.0752,-159.319,85.98,69,20,16.11
98,Jamestown,US,2022-07-21 23:28:42,42.097,-79.2353,80.94,63,40,10.36
99,Yagodnoye,RU,2022-07-21 23:32:13,62.55,149.6667,51.21,69,100,2.06
100,Kiruna,SE,2022-07-21 23:32:13,67.8557,20.2251,50.92,82,100,3.44
101,Sioux Lookout,CA,2022-07-21 23:32:14,50.1001,-91.917,75.27,46,75,11.5
102,Turayf,SA,2022-07-21 23:32:14,31.6725,38.6637,77.25,50,0,13.8
103,Diamantino,BR,2022-07-21 23:32:14,-14.4086,-56.4461,76.68,37,22,4.59
104,Ulladulla,AU,2022-07-21 23:32:15,-35.35,150.4667,57.49,78,50,9.53
105,Aklavik,CA,2022-07-21 23:29:40,68.2191,-135.0107,68.0,64,40,8.05
106,Bathsheba,BB,2022-07-21 23:32:15,13.2167,-59.5167,83.01,89,20,20.71
107,Clyde River,CA,2022-07-21 23:32:15,70.4692,-68.5914,37.63,100,100,8.05
108,Kresttsy,RU,2022-07-21 23:32:16,58.2452,32.5165,53.76,94,2,2.37
109,Bethel,US,2022-07-21 23:30:06,41.3712,-73.414,89.37,72,0,8.05
110,Wittenberge,DE,2022-07-21 23:32:17,53.0,11.75,67.03,95,85,7.0
111,Agadez,NE,2022-07-21 23:32:17,19.75,10.25,90.01,18,57,4.47
112,Manbij,SY,2022-07-21 23:32:17,36.5281,37.9549,75.99,53,0,10.8
113,Gizo,SB,2022-07-21 23:32:18,-8.103,156.8419,83.48,69,67,5.68
114,Waterfoot,GB,2022-07-21 23:32:18,53.6929,-2.2525,61.0,93,100,1.01
115,Santa Fe,AR,2022-07-21 23:28:01,-31.6333,-60.7,62.02,81,100,4.0
116,Butaritari,KI,2022-07-21 23:29:34,3.0707,172.7902,81.48,73,57,5.41
117,Amalapuram,IN,2022-07-21 23:32:19,16.5833,82.0167,78.76,85,100,5.12
118,Codrington,AU,2022-07-21 23:32:19,-38.2667,141.9667,52.11,77,86,13.15
119,Hithadhoo,MV,2022-07-21 23:27:45,-0.6,73.0833,79.95,75,100,8.03
120,Angoche,MZ,2022-07-21 23:32:20,-16.2325,39.9086,70.12,78,0,4.32
121,Darnah,LY,2022-07-21 23:32:20,32.767,22.6367,76.98,74,0,16.02
122,Santarem,BR,2022-07-21 23:32:20,-2.4431,-54.7083,78.93,94,40,2.3
123,Sur,OM,2022-07-21 23:29:28,22.5667,59.5289,86.41,71,86,10.69
124,Ribeira Grande,PT,2022-07-21 23:32:21,38.5167,-28.7,73.2,86,59,2.21
125,Suntar,RU,2022-07-21 23:32:21,62.1444,117.6319,66.81,79,83,2.19
126,Chengde,CN,2022-07-21 23:32:21,40.9725,117.9361,76.71,64,54,3.69
127,Narsaq,GL,2022-07-21 23:30:36,60.9167,-46.05,57.42,78,9,4.34
128,Port Alfred,ZA,2022-07-21 23:32:22,-33.5906,26.891,57.02,80,0,9.15
129,Shaunavon,CA,2022-07-21 23:32:01,49.6501,-108.4181,82.18,23,5,11.1
130,Atuona,PF,2022-07-21 23:32:22,-9.8,-139.0333,77.36,72,13,15.21
131,Sterling,US,2022-07-21 23:31:12,39.0062,-77.4286,90.99,72,40,5.99
132,Hobart,AU,2022-07-21 23:32:23,-42.8794,147.3294,48.25,82,20,12.66
133,Koronowo,PL,2022-07-21 23:32:23,53.3137,17.937,75.24,70,81,8.86
134,Abu Dhabi,AE,2022-07-21 23:28:40,24.4667,54.3667,96.91,53,0,5.75
135,Shenjiamen,CN,2022-07-21 23:31:08,29.9576,122.298,80.11,88,38,7.58
136,Liaozhong,CN,2022-07-21 23:33:24,41.5061,122.7242,76.12,84,52,7.18
137,Prince Rupert,CA,2022-07-21 23:33:16,54.3161,-130.3201,60.89,79,0,13.8
138,Nola,IT,2022-07-21 23:33:24,40.922,14.5329,79.63,83,0,2.04
139,Saint Paul,US,2022-07-21 23:32:39,44.9444,-93.0933,87.58,34,0,12.66
140,Bengkulu,ID,2022-07-21 23:29:14,-3.8004,102.2655,74.66,90,82,4.88
141,Yerbogachen,RU,2022-07-21 23:33:04,61.2767,108.0108,63.86,72,99,3.24
142,Laguna,US,2022-07-21 23:33:25,38.421,-121.4238,104.76,23,0,9.22
