City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Jumla,NP,63.27,light rain,29.27,82.18,Hotel Sundar Rara Karnali
252,Fairbanks,US,62.22,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
256,Astana,KZ,61.07,few clouds,51.18,71.45,King Hotel Astana
264,Scarborough,GB,71.17,overcast clouds,54.28,-0.4,The Grand Hotel Scarborough
267,Shimoda,JP,74.1,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
269,Nemuro,JP,60.06,overcast clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
273,Ust-Kuyga,RU,61.47,scattered clouds,70.02,135.6,
277,Newala,TZ,60.57,few clouds,-10.94,39.28,Country Lodge
278,College,US,62.2,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
284,Winchester,GB,69.3,few clouds,51.07,-1.32,Lainston House
286,Lima,PE,62.85,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
294,Chilca,PE,62.53,scattered clouds,-12.52,-76.74,Playa Punta Yaya - Las Salinas
297,Pringsewu,ID,72.39,broken clouds,-5.36,104.97,Urban Style by Front One
304,Eugene,US,72.82,scattered clouds,44.05,-123.09,Valley River Inn
306,Millet,CA,74.23,scattered clouds,53.1,-113.47,Millet Village Trailer Park
308,Nokaneng,BW,66.31,few clouds,-19.67,22.27,
310,Abha,SA,66.02,scattered clouds,18.22,42.51,Abha Hotel
312,Karratha,AU,62.11,clear sky,-20.74,116.85,ibis Styles Karratha
314,Den Helder,NL,67.98,few clouds,52.96,4.76,Hotel Den Helder
315,Arbazh,RU,65.46,scattered clouds,57.68,48.31,
319,Hualmay,PE,65.97,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
323,Saint Anthony,US,73.15,overcast clouds,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
340,Sioux Lookout,CA,73.47,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
343,Batetskiy,RU,64.31,scattered clouds,58.65,30.3,
346,Belmonte,BR,72.79,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
347,Hasaki,JP,72.28,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
349,Entre Rios,BR,73.51,broken clouds,-11.94,-38.08,Pousada Porteira
354,Grand Gaube,MU,70.38,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
356,Nyurba,RU,61.11,clear sky,63.28,118.33,"Гостиница ""Comfort"""
359,Myitkyina,MM,74.19,broken clouds,25.38,97.4,Shwe Phyu Hotel
360,Chara,RU,62.76,few clouds,56.91,118.26,
361,Alofi,NU,71.49,overcast clouds,-19.06,-169.92,Taloa Heights
363,Caravelas,BR,73.15,clear sky,-17.71,-39.25,Pousada dos Navegantes
365,Harbour Breton,CA,62.65,overcast clouds,47.48,-55.8,Southern Port Hotel
371,Boden,SE,66.2,scattered clouds,65.83,21.69,Quality Hotel Bodensia
377,Maizuru,JP,68.74,overcast clouds,35.45,135.33,Maizuru Grand Hotel
382,Pisco,PE,60.85,mist,-13.7,-76.22,Hotel San Isidro Oficial
383,Janovice Nad Uhlavou,CZ,73.71,overcast clouds,49.35,13.22,Penzion Jelenka Ubytování Janovice nad Úhlavou
385,Jinzhou,CN,65.97,clear sky,41.11,121.14,Sheraton Jinzhou Hotel
387,Yaan,NG,70.34,overcast clouds,7.38,8.57,
390,Rocha,UY,65.44,overcast clouds,-34.48,-54.33,Hotel Arrarte
391,Shemursha,RU,66.47,broken clouds,54.89,47.52,"Gostinitsa ""Shemursha"""
392,Saint-Augustin,CA,63.09,overcast clouds,51.23,-58.65,
393,Saint-Pierre,RE,69.48,overcast clouds,-21.34,55.48,Alize Plage
394,Krizevci,HR,72.61,few clouds,46.02,16.54,Koristan Kod d.o.o.
400,Malanje,AO,72.86,scattered clouds,-9.54,16.34,Hotel Ginga
401,Verkhovazhye,RU,64.87,few clouds,60.75,42.05,Guest house Uyut on Gagarina 4А
407,Virtsu,EE,64.58,broken clouds,58.57,23.51,Viirelaiu Lighthouse Guesthouse
409,Neiafu,TO,74.08,broken clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
416,Kushima,JP,73.74,overcast clouds,31.46,131.23,Hanaoka
422,Camabatela,AO,69.53,overcast clouds,-8.19,15.38,Comércio e Prestação de Serviços
423,Bosobolo,CD,70.74,broken clouds,4.18,19.9,
424,Santa Vitoria Do Palmar,BR,62.6,broken clouds,-33.52,-53.37,Hostel Comodoro
427,Mujiayingzi,CN,62.71,clear sky,42.12,118.78,Jinjiang Hotel
430,Aykhal,RU,60.28,broken clouds,66.0,111.5,
431,Fortuna,US,62.98,scattered clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
432,Tintigny,BE,72.61,broken clouds,49.68,5.51,Gauthier / Stany
434,Camana,PE,63.21,broken clouds,-16.62,-72.71,Hostal Morales
435,Ljungby,SE,62.17,overcast clouds,56.83,13.94,Hotel Terraza
437,Moron,AR,62.49,broken clouds,-34.65,-58.62,Hotel Morón
438,Kunming,CN,64.33,few clouds,25.04,102.72,昆明佳华广场酒店
440,Huarmey,PE,66.33,scattered clouds,-10.07,-78.15,Hotel Miramar
455,Langres,FR,71.19,broken clouds,47.83,5.33,Le Belvédère des Remparts
462,Kamphaeng Phet,TH,74.75,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
465,Pandharpur,IN,74.77,overcast clouds,17.67,75.33,Hotel Vitthal Inn Pandharpur
466,Shizunai,JP,66.87,overcast clouds,42.33,142.37,Shizunai Eclipse Hotel
470,Pustoshka,RU,64.36,broken clouds,56.34,29.37,Yubileinaya Hotel
472,Baruun-Urt,MN,64.56,light rain,46.68,113.28,Ахмадын амралт сувилал
473,Mattru,SL,74.7,overcast clouds,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
477,Igunga,TZ,69.39,few clouds,-4.28,33.88,Ally yesu shop
484,Pyinmana,MM,74.21,overcast clouds,19.73,96.22,Anh Mai Daung
488,Canakkale,TR,70.36,clear sky,40.08,26.83,
490,Nabire,ID,74.19,overcast clouds,-3.37,135.48,Hotel Nusantara I
493,Tayu,ID,74.97,broken clouds,-6.54,111.05,Toko pakaian bu is Tayu
497,Traismauer,AT,74.57,overcast clouds,48.35,15.76,Michaela Neuhold
501,Celano,IT,74.61,clear sky,42.09,13.54,Lory
506,Mbekenyera,TZ,65.44,clear sky,-10.0,38.98,
509,Bongandanga,CD,70.09,light rain,1.5,21.05,
517,Glasgow,GB,67.19,overcast clouds,55.87,-4.26,Glasgow Marriott Hotel
518,Djambala,CG,72.14,broken clouds,-2.54,14.75,Auberge Chez Les Emmanuelles
519,Khandyga,RU,62.64,clear sky,62.67,135.6,Apel'sin
525,Diemen,NL,71.92,clear sky,52.34,4.97,The Manor Amsterdam
526,Vila Velha,BR,74.28,clear sky,-20.33,-40.29,Hotel Vitória Palace
528,Livingston,GB,61.18,overcast clouds,55.9,-3.52,Mercure Livingston Hotel
529,Tommot,RU,67.41,light rain,58.96,126.29,Gostinitsa Tommot
534,San Rafael,AR,70.48,scattered clouds,-34.62,-68.33,Hotel San Rafael
536,Landerneau,FR,70.52,clear sky,48.45,-4.25,Le Clos Du Pontic
538,Oschatz,DE,70.92,scattered clouds,51.3,13.12,Hotel Gasthaus Zum Schwan
539,Obo,CF,68.14,moderate rain,5.4,26.49,
541,Haines Junction,CA,62.55,overcast clouds,60.75,-137.51,Parkside Inn
542,High Level,CA,73.51,broken clouds,58.52,-117.14,Days Inn by Wyndham High Level
544,Joshimath,IN,71.6,overcast clouds,30.57,79.57,Shivalik Camps & Resort
552,Ebbw Vale,GB,65.12,light rain,51.78,-3.21,Premier Inn Ebbw Vale hotel
553,Kropotkin,RU,65.41,broken clouds,45.44,40.58,Hotel Europe Kropotkin
562,Moyale,KE,70.14,overcast clouds,3.52,39.06,Latahzan guest house
566,Guiglo,CI,71.08,overcast clouds,6.55,-7.5,domicile de boubé TTK
569,Nara,JP,73.49,overcast clouds,34.69,135.8,Hotel Nikko Nara
571,Requena,ES,73.8,clear sky,39.49,-1.1,Hotel Avenida
572,Vao,NC,74.17,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
573,Zhezkazgan,KZ,73.99,clear sky,47.8,67.71,Hotel Zumrat
574,Kupang,ID,69.01,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
579,Liverpool,GB,65.14,overcast clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
580,Richards Bay,ZA,70.68,broken clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
583,Juegang,CN,72.73,scattered clouds,32.32,121.19,Rudong Y Hotel
584,Moerai,PF,74.5,light rain,-22.43,-151.33,Le Manotel
587,Mbalmayo,CM,67.3,overcast clouds,3.52,11.5,Motel La Reférence
591,Octeville,FR,64.89,broken clouds,49.63,-1.64,Hôtel Le Louvre Cherbourg
596,Seoul,KR,71.78,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
598,Kysyl-Syr,RU,60.37,clear sky,63.9,122.76,
599,Maputo,MZ,69.48,scattered clouds,-25.97,32.59,Pestana Rovuma
601,Jalingo,NG,71.96,overcast clouds,8.88,11.37,Debright Motel
602,Svetlyy,RU,61.23,overcast clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
603,Horadiz,AZ,74.17,clear sky,39.45,47.34,Evim Hotel
605,Diebougou,BF,74.14,overcast clouds,10.97,-3.25,Hotel Le Consulat
606,Talnakh,RU,67.21,overcast clouds,69.49,88.4,Talnakh Hotel
608,Galesong,ID,71.62,few clouds,-5.32,119.37,Sapriadi Appy
611,Shingu,JP,72.93,overcast clouds,33.73,135.98,Shingu UI Hotel
612,Capao Da Canoa,BR,63.45,scattered clouds,-29.75,-50.01,Hotel Araçá
613,Whitehorse,CA,64.09,broken clouds,60.72,-135.05,The Sternwheeler Hotel & Conference Centre
614,Grand Baie,MU,70.45,scattered clouds,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
618,Saint-Francois,FR,71.04,clear sky,46.42,3.91,Manoir Du Bonheur
619,Eregli,TR,69.75,clear sky,37.51,34.05,Hotel Fuat Bey
620,Asau,RO,72.52,few clouds,46.43,26.4,Casa Mika Ciobanus
623,Warrington,GB,68.32,broken clouds,53.39,-2.58,Villaggio Hotel
626,Lagoa,PT,73.45,few clouds,39.05,-27.98,Casa Das Faias
627,Dongsheng,CN,67.89,clear sky,39.82,109.98,Crowne Plaza Ordos
631,Nacala,MZ,69.67,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
633,Mitu,CO,74.03,overcast clouds,1.2,-70.17,
634,Waingapu,ID,69.87,few clouds,-9.66,120.26,Pondok Wisata Elim
637,Mgandu,TZ,61.7,clear sky,-5.95,34.13,
639,Aleksandrovsk-Sakhalinskiy,RU,61.23,overcast clouds,50.9,142.16,"The hotel ""Three Brothers"""
645,Chicama,PE,61.34,scattered clouds,-7.84,-79.15,Balihai Bungalows
647,Sheltozero,RU,67.23,light rain,61.37,35.37,The village of Vanino
648,Yambio,SS,69.33,overcast clouds,4.57,28.4,Kabash Inn
649,Wuwei,CN,70.5,few clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
650,Sao Joao Del Rei,BR,73.42,clear sky,-21.14,-44.26,Solara Hotel
655,Mookane,BW,62.46,few clouds,-23.69,26.66,
656,Anchorage,US,61.99,scattered clouds,61.22,-149.9,Hotel Captain Cook
658,Hirna,ET,63.07,light rain,9.22,41.1,Seid Ali
665,Chapais,CA,68.9,broken clouds,49.78,-74.85,Hôtel Opémiska
670,Gamba,GA,69.06,overcast clouds,-2.65,10.0,
671,Rio Grande,BR,63.95,broken clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
672,Pionerskiy,RU,64.24,broken clouds,54.95,20.23,Baltica Pension
675,Makhinjauri,GE,66.06,scattered clouds,41.67,41.69,Batumi World Palace Hotel
676,Katobu,ID,70.92,scattered clouds,-4.94,122.53,La Ode Husein
677,Pangai,TO,74.23,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
678,Bereznik,RU,67.8,broken clouds,62.86,42.71,coastal Hotel
679,Enkhuizen,NL,68.97,scattered clouds,52.7,5.28,Hotel De Koepoort
680,Concarneau,FR,66.99,few clouds,47.88,-3.92,Brit Hotel de L' Océan
682,Baoro,CF,67.5,light rain,5.67,15.97,
684,Shaunavon,CA,72.25,scattered clouds,49.65,-108.42,Bear's Den Lodge
685,Mascote,BR,70.75,scattered clouds,-15.56,-39.3,Fazenda Novo ORIENTE
689,Nelidovo,RU,63.16,few clouds,56.22,32.78,"Tsentral'naya, Gostinitsa"
690,Piranshahr,IR,69.75,clear sky,36.7,45.14,مسافر خانه سعدی
697,Gull Lake,CA,72.54,clear sky,50.1,-108.48,Campbell's Accommodations
698,Fushun,CN,69.51,broken clouds,41.86,123.92,Love Theme Apartment Xinhua Branch
700,Hereford,GB,68.05,overcast clouds,52.06,-2.71,The Green Dragon Hotel
708,Mizan Teferi,ET,61.83,light rain,6.98,35.58,Hotel Salayish - ሳላይሽ ሆቴል
